cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
4.894749195059546,5.4009619201836685,5.461164517596979,,58.6,44.8,128.2,158.8,63.2,29.8,,,,,,,,,,,,,,,,,,,,,,,0.18,16.0,0.0489625858811385,0.4816810727097691,0.5508999040088031,btk,False,False,True,False,False,False,False
2.235493695265609,4.793894947279489,4.033131458680612,15.0,29.0,28.0,78.0,60.0,41.0,14.0,31.0,15.0,5.0,18.0,0.0,0.0,13.0,23.0,5.0,24.0,21.0,7.0,40.0,22.0,12.0,21.0,22.0,14.0,,,,,0.3,16.0,0.031558450213458,0.0,0.0,btk,False,True,True,False,False,False,False
4.594458427133641,2.8029581988635064,3.8974639279992935,10.0,,,,,,,9.0,12.0,0.0,7.0,0.0,0.0,48.0,17.0,9.0,25.0,28.0,14.0,33.0,3.0,17.0,71.0,11.0,11.0,241.0,,,,0.1,16.0,0.0869436006775716,0.0,0.0,btk,False,True,False,True,False,False,False
4.106674197953033,2.731819398867044,2.8176386080085334,,53.0,21.0,79.0,66.0,79.0,28.0,,,,,,,,,,,,,,,,,,,218.0,,,,0.1,16.0,0.0928912958978819,0.0,0.0,btk,False,False,True,True,False,False,False
2.637897846610276,4.106806087393773,3.708842822894893,3.0,20.0,14.0,55.0,55.0,38.0,14.0,13.0,19.0,2.0,15.0,0.0,0.0,19.0,18.0,8.0,15.0,12.0,18.0,32.0,21.0,10.0,14.0,21.0,21.0,108.0,,,,0.3,16.0,0.1235944270112646,0.0,0.0,btk,False,True,True,True,False,False,False
3.6599999702660986,2.6615906274238874,3.163200093460563,6.0,,,,,,,17.0,12.0,7.0,9.0,0.0,0.0,1.0,4.0,34.0,3.0,20.0,10.0,5.0,11.0,51.0,12.0,12.0,22.0,,,331.0,,0.03,16.0,0.0723821311504493,0.0,0.0,btk,False,True,False,False,True,False,False
3.168626625947126,3.0719296265488367,2.6907398669473404,,47.8,24.8,59.4,78.4,63.8,15.2,,,,,,,,,,,,,,,,,,,,,266.2,,0.2199999999999999,16.0,0.0868174205440363,0.149173595602718,0.0993645220507861,btk,False,False,True,False,True,False,False
2.6465354309099944,3.5809023985213715,3.245549518464417,3.0,38.0,15.0,40.0,50.0,40.0,13.0,17.0,11.0,3.0,13.0,0.0,0.0,10.0,20.0,10.0,38.0,21.0,5.0,25.0,15.0,10.0,28.0,19.0,15.0,,,111.0,,0.3,16.0,0.1272583117334866,4.440892098500626e-16,0.0,btk,False,True,True,False,True,False,False
4.779076499915016,11.659457565222707,6.774558680897671,9.0,,,,,,,15.0,36.0,8.0,10.0,0.0,0.0,7.0,3.0,17.0,20.0,18.0,19.0,11.0,5.0,30.0,13.0,14.0,29.0,,306.0,,,0.3,16.0,0.1415053494732029,0.0,8.881784197001252e-16,btk,False,True,False,False,False,True,False
4.129878123260111,5.412162360011164,5.182249703792272,,71.0,17.0,74.0,91.0,41.0,10.0,,,,,,,,,,,,,,,,,,,,268.0,,,0.3,16.0,0.1086150769357382,0.0,0.0,btk,False,False,True,False,False,True,False
2.349822159863977,6.336647687976119,4.307317874045129,6.0,22.0,12.0,80.0,46.0,28.0,17.0,22.0,17.0,4.0,20.0,0.0,0.0,5.0,12.0,5.0,17.0,15.0,9.0,48.0,20.0,13.0,19.0,15.0,11.0,,102.0,,,0.3,16.0,0.11769293647273,0.0,0.0,btk,False,True,True,False,False,True,False
3.5396784670197654,2.6253271672574576,2.927287814374146,9.0,,,,,,,8.0,14.0,4.0,11.0,0.0,0.0,0.0,1.0,14.0,8.0,20.0,14.0,12.0,11.0,22.0,10.0,10.0,17.0,,64.0,319.0,,0.03,16.0,0.0709367185535943,0.0,0.0,btk,False,True,False,False,True,True,False
2.920322772028725,3.157482476767984,2.098513378810131,,44.4,15.8,45.4,64.0,51.8,13.4,,,,,,,,,,,,,,,,,,,,96.8,245.2,,0.18,16.0,0.0891942653465999,0.4178516943809172,0.0900706145733545,btk,False,False,True,False,True,True,False
2.608373796897601,3.5719867239418286,2.7704963160742992,6.0,29.0,8.0,45.0,49.0,21.0,14.0,13.0,8.0,1.0,8.0,0.0,0.0,6.0,15.0,7.0,41.0,12.0,7.0,30.0,22.0,7.0,26.0,13.0,7.0,,51.0,112.0,,0.3,16.0,0.0819669909640686,0.0,0.0,btk,False,True,True,False,True,True,False
3.842463326533646,5.3458266098570455,3.636228945056103,10.6,,,,,,,16.2,13.6,5.2,15.8,0.0,0.0,7.2,16.2,8.2,33.4,35.0,19.0,13.8,30.2,19.6,21.2,17.6,12.6,,,,268.2,0.2199999999999999,16.0,0.1053676420235018,0.0130866948929966,0.0665850665813049,btk,False,True,False,False,False,False,True
