cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance
5.877945052882167,18.905187562030218,10.944307059041517,12.4,17.6,42.8,23.8,21.8,7.4,112.8,34.4,18.0,21.4,70.6,37.4,97.6,38.0,86.2,59.4,65.8,24.6,44.8,60.8,93.8,89.2,0.18,28.8,0.1134131722306202,0.8287535617386831,1.0319376052462417,ltz,False,True,True,False,False,False,True,8.2,34.2,55.2,117.2,59.6,45.4,101.2,78.6,63.6,154.4,73.4,1.8,,,,163.4
8.192759625344488,1.276638170096792,6.857226292560577,55.6,62.0,116.8,90.6,37.0,10.4,173.0,67.8,27.4,134.2,199.0,99.6,296.2,77.0,210.8,199.6,103.8,49.2,154.0,92.8,218.0,341.4,0.1,44.8,0.0482137656349127,0.6252285279215464,0.4668644981881069,lmo,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
3.818084047839695,6.472279258948352,1.0194141549628326,13.8,4.0,25.0,26.6,15.6,3.0,75.6,15.2,8.4,20.2,40.8,23.6,34.2,29.4,51.8,29.4,32.6,13.6,27.8,47.8,49.8,29.2,0.18,16.0,0.0494150337534525,0.3228286467244068,0.0307143997871417,lmo,False,True,True,True,True,True,True,3.6,14.6,32.0,54.6,36.2,47.0,44.8,38.0,44.6,63.4,28.4,2.6,193.0,50.6,152.4,67.6
7.327031495194056,3.340009678909671,8.066310584671244,,,,,,,81.0,11.0,12.0,42.0,70.0,30.0,79.0,36.0,79.0,42.0,49.0,15.0,52.0,60.0,80.0,74.0,0.3,16.0,0.0411805055415001,0.0,0.0,lmo,False,True,False,False,False,False,False,4.0,36.0,49.0,85.0,50.0,56.0,96.0,74.0,59.0,101.0,73.0,5.0,,,,
11.210621610366651,10.72199411939939,16.664098448394135,151.4,354.4,544.4,398.6,163.2,18.8,,,,,,,,,,,,,,,,,0.3,22.4,0.0385543045956107,0.1381126709542422,0.1641450449502443,lmo,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
6.8076046141757605,5.942271257777017,3.319519016526709,47.8,31.8,40.8,36.8,24.4,5.0,86.4,27.2,15.4,40.6,54.2,27.6,120.0,37.6,79.4,65.2,57.2,17.8,60.4,53.8,97.0,112.8,0.22,22.4,0.0835047049593278,0.9700584072117786,1.211113654255925,lmo,False,True,True,False,False,False,False,4.0,42.4,47.0,108.4,60.6,47.2,118.8,83.4,50.8,122.4,84.0,6.2,,,,
5.51654376802564,5.0324837231935,7.027942906366103,,,,,,,79.0,19.8,9.6,40.2,65.6,24.4,97.2,39.0,64.6,42.6,41.0,19.2,38.2,61.6,62.8,48.6,0.18,16.0,0.0596464011088815,0.2212150275309055,0.1443850986583926,lmo,False,True,False,True,False,False,False,2.2,39.6,44.2,69.8,44.6,76.2,62.0,39.4,75.6,73.0,57.6,1.8,158.2,,,
6.80909710168571,5.841338714566816,7.020411375841361,99.0,112.0,182.0,186.0,74.0,52.0,,,,,,,,,,,,,,,,,0.1,16.0,0.0505606934529664,0.0,8.881784197001252e-16,lmo,False,False,True,True,False,False,False,,,,,,,,,,,,,787.0,,,
5.1604519443026255,4.009321468958143,7.332146105540365,52.8,32.2,58.4,45.0,20.6,3.8,70.0,18.4,9.0,62.6,53.0,22.4,105.6,36.4,68.8,44.4,37.6,24.6,45.8,65.8,53.4,51.8,0.1,25.6,0.0372507042729372,0.5219122319207466,0.8050450185623899,lmo,False,True,True,True,False,False,False,1.0,48.0,42.4,54.8,70.4,48.0,60.8,48.2,82.2,85.4,73.6,2.8,211.6,,,
4.394267629953178,4.926136406147929,1.5855921486178213,,,,,,,148.4,41.6,24.4,35.4,84.0,52.0,73.2,39.0,70.8,50.8,61.0,26.2,38.0,76.8,77.6,62.8,0.14,35.2,0.0343273852522247,0.3058497628132793,0.2167661192173484,lmo,False,True,False,False,True,False,False,5.6,31.4,64.8,113.8,59.4,54.2,101.0,78.6,79.0,148.8,72.4,3.6,,,311.8,
5.382618494807019,3.35311623587594,1.576455767379494,55.4,121.8,410.8,364.0,84.0,27.0,,,,,,,,,,,,,,,,,0.03,25.6,0.0208831729237813,0.1353928921689332,0.0549976068467699,lmo,False,False,True,False,True,False,False,,,,,,,,,,,,,,,928.4,
