cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.292623249985856,3.133752467495036,2.903954009558245,102.4,4.0,10.6,28.4,9.0,12.2,2.2,2.8,19.4,23.0,17.0,26.2,49.8,19.6,42.6,33.0,29.2,24.6,18.8,31.6,29.2,63.2,19.2,16.2,57.2,44.0,34.8,67.6,35.8,19.8,46.4,58.4,36.0,2.0,166.0,61.2,151.2,84.4,0.1,16.0,0.0230281401276949,0.0275973686092278,0.0278622361962826,sin,False,True,True,True,True,True,True
7.438843669488298,5.841749254083451,9.358929548881529,149.0,42.0,71.0,88.0,73.0,45.0,7.0,,,75.0,37.0,192.0,215.0,78.0,340.0,86.0,196.0,230.0,80.0,72.0,224.0,129.0,176.0,293.0,,,,,,,,,,,,,,,0.1,32.0,0.0560665984786769,0.0,0.0,sin,True,False,False,False,False,False,False
3.2505371532152694,1.086094862294191,1.525648231108365,102.2,1.6,14.8,31.4,20.4,18.0,0.4,5.0,24.6,27.0,20.4,27.4,57.6,22.4,47.0,34.2,34.8,22.0,31.0,34.6,31.6,71.0,30.4,29.2,55.8,59.2,29.6,71.2,49.0,23.6,67.0,61.0,48.6,4.2,188.0,68.2,192.6,105.8,0.1,19.2,0.0418007711307883,0.1913187030830902,0.1482183773614964,yor,False,True,True,True,True,True,True
7.4799520460143425,5.5199088167154855,10.132831573514238,175.6,42.2,68.4,101.0,94.4,57.8,7.8,,,84.0,50.8,208.4,233.6,90.8,357.6,94.4,233.0,221.8,102.8,69.0,222.6,119.4,207.8,311.6,,,,,,,,,,,,,,,0.1399999999999999,41.6,0.0517672819100687,1.6265928478727054,0.580360470555729,yor,True,False,False,False,False,False,False
3.263665862169332,1.661835707423439,1.148020128474666,96.0,0.0,14.0,22.0,11.0,18.0,3.0,3.0,19.0,29.0,21.0,25.0,42.0,23.0,32.0,27.0,37.0,23.0,17.0,39.0,23.0,73.0,22.0,25.0,63.0,37.0,30.0,58.0,38.0,17.0,58.0,53.0,42.0,3.0,165.0,56.0,153.0,83.0,0.1,16.0,0.0399788087398973,0.0,0.0,mri,False,True,True,True,True,True,True
7.5275299699892,8.771747426512253,8.701107918945663,144.0,50.0,64.0,100.0,87.0,55.0,8.0,,,102.0,47.0,202.0,209.0,92.0,321.0,69.0,244.0,203.0,85.0,65.0,227.0,107.0,158.0,280.0,,,,,,,,,,,,,,,0.1,32.0,0.0517270613559837,0.0,0.0,mri,True,False,False,False,False,False,False
3.30248965529551,1.8780519690380253,6.088697371349223,96.0,5.0,10.0,23.0,14.0,8.0,2.0,7.0,21.0,21.0,20.0,30.0,50.0,13.0,38.0,28.0,35.0,17.0,29.0,29.0,14.0,76.0,21.0,14.0,52.0,56.0,27.0,55.0,34.0,19.0,61.0,57.0,50.0,3.0,162.0,47.0,158.0,98.0,0.1,16.0,0.02868139265183,2.220446049250313e-16,0.0,rus,False,True,True,True,True,True,True
7.72489454395228,9.602410113548276,13.096200574240704,152.0,45.0,68.0,100.0,90.0,40.0,11.0,,,58.0,39.0,191.0,216.0,97.0,325.0,66.0,189.0,202.0,95.0,93.0,223.0,100.0,185.0,299.0,,,,,,,,,,,,,,,0.1,32.0,0.0378424860589705,0.0,1.7763568394002505e-15,rus,True,False,False,False,False,False,False
3.2560146726484773,1.2233239491822792,1.3204923703055873,104.2,2.6,9.0,32.0,15.2,20.2,4.2,3.2,25.6,29.0,15.6,31.2,54.2,18.6,50.8,38.4,35.8,29.0,23.8,44.6,28.6,73.8,30.2,20.6,66.2,59.0,33.4,72.2,50.6,24.8,50.2,68.6,43.6,4.2,189.8,69.4,180.6,97.8,0.1,19.2,0.0287006644184337,0.120665551370918,0.0243938227378787,ceb,False,True,True,True,True,True,True
7.528141764716193,5.672654583387535,6.469714519654279,164.0,42.0,84.0,82.0,73.0,43.0,6.0,,,83.0,48.0,207.0,220.0,77.0,342.0,78.0,198.0,213.0,97.0,71.0,229.0,104.0,149.0,304.0,,,,,,,,,,,,,,,0.1,32.0,0.0420116622935982,0.0,0.0,ceb,True,False,False,False,False,False,False
