cv_rmse,test_source_rmse,test_target_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.7133639254961923,4.051576580324669,5.307952923426165,0.0064,0.1,0.1,0.046,0.01,0.01,0.0796752295966982,0.1695758471937248,0.6710277104266036,mad,False,True,False,False,True,True,False
2.6110890495422745,4.838488822483955,5.927983035191796,0.01,0.1,0.1,0.01,0.01,0.01,0.0509490582032811,0.0961408767010287,0.3377485453122145,mad,False,False,True,False,True,True,False
2.611335839284212,4.459071073483363,6.2550606032910965,0.01,0.1,0.1,0.01,0.01,0.01,0.0695658581170207,0.1838260976212809,0.2894422004791729,mad,False,True,True,False,True,True,False
2.6050102533845303,4.024165766124914,4.5238924522559,0.0064,0.1,0.1,0.01,0.01,0.01,0.063599798494649,0.3782570754718298,1.062709242508926,mad,False,True,False,False,False,False,True
2.687002622556931,4.456486514330886,4.963534835991807,0.0046,0.1,0.1,0.01,0.01,0.01,0.0442078253398886,0.0669909282974779,0.6337114364684691,mad,False,False,True,False,False,False,True
2.660002873984534,3.023142110159321,5.28095750630611,0.001,0.1,0.1,0.01,0.01,0.01,0.0528146933184468,0.1413042867387922,0.1973772089436642,mad,False,True,True,False,False,False,True
1.7401840378378988,4.290338879196333,4.684304665462993,0.001,0.1,0.1,0.1,0.01,0.01,0.0299905372150841,0.0572588068920206,0.1381160719615503,ind,False,True,True,True,True,True,True
1.8423703339629427,9.545175240550012,13.49814403615025,0.01,0.1,0.1,0.1,0.01,0.01,0.0305825408238538,0.0834738554560477,0.1472497534250399,ind,True,False,False,False,False,False,False
1.757845229925286,9.988828313051927,9.580014823939342,0.001,0.1,0.1,0.01,0.01,0.01,0.05233474555078,0.0556485802550002,0.5084073225929803,ind,False,True,False,False,False,False,False
1.8674917211375752,9.670815328296886,13.377340347463615,0.01,0.1,0.1,0.1,0.01,0.01,0.0329566214772404,0.1149989030486112,0.1228916210188903,ind,False,False,True,False,False,False,False
1.858028951315405,8.974690403572186,10.491910086593142,0.01,0.1,0.1,0.064,0.01,0.01,0.0350232584157948,0.6394209217470487,2.1510415019845985,ind,False,True,True,False,False,False,False
1.794745930829005,7.956275559466722,6.817666231272048,0.0028,0.1,0.1,0.082,0.01,0.01,0.0273709172509094,0.2852514444635923,0.3206278678114137,ind,False,True,False,True,False,False,False
1.8519135774603903,8.772017955462115,12.342691745974204,0.01,0.1,0.1,0.1,0.01,0.01,0.0281259609078372,0.1241423326104428,0.1529404793211083,ind,False,False,True,True,False,False,False
1.832417168286413,8.796966722124594,11.26513907664228,0.01,0.1,0.1,0.1,0.01,0.01,0.0367177927670555,0.1128956212494987,0.2569923159385556,ind,False,True,True,True,False,False,False
1.8236280843201984,9.351825145373052,11.420644254874931,0.01,0.1,0.1,0.1,0.01,0.01,0.0518055080269764,0.0662937289541444,0.2339894190944829,ind,False,True,False,False,True,False,False
1.831545748168774,8.737972801261924,11.79128823555538,0.01,0.1,0.1,0.1,0.01,0.01,0.0494392717849915,0.0915126938173535,0.112128227739189,ind,False,False,True,False,True,False,False
1.824037925914439,8.680973590229598,10.791634995601791,0.01,0.1,0.1,0.1,0.01,0.01,0.0510161843902099,0.0835552585729224,0.2175776607744151,ind,False,True,True,False,True,False,False
1.9033831020993983,9.85735348311557,10.072913172030558,0.0046,0.1,0.1,0.064,0.01,0.01,0.0413340098052482,0.4236530937419779,2.315135258366204,ind,False,True,False,False,False,True,False
1.9041022293247012,9.568134643918004,13.071694225216843,0.01,0.1,0.1,0.1,0.01,0.01,0.0300970035512387,0.133501387665385,0.1386984292597809,ind,False,False,True,False,False,True,False
1.896069049963084,9.14878156075508,10.971577061006268,0.01,0.1,0.1,0.082,0.01,0.01,0.0335660481157032,0.6205260339510186,2.094448981790012,ind,False,True,True,False,False,True,False
1.8599435054343672,9.24175733048052,11.095299693510649,0.01,0.1,0.1,0.1,0.01,0.01,0.0468749453141411,0.0873575253361762,0.2592996421774021,ind,False,True,False,False,True,True,False
1.860972487292661,8.659740923646272,11.513813053631225,0.01,0.1,0.1,0.1,0.01,0.01,0.0477021286016991,0.1024279269317797,0.1455237590728718,ind,False,False,True,False,True,True,False
1.8538797094980304,8.607461660555384,10.535349628024958,0.01,0.1,0.1,0.1,0.01,0.01,0.0514012288283938,0.1071265213115138,0.2567636779882934,ind,False,True,True,False,True,True,False
1.908513588854448,9.278321861530358,11.429300999242503,0.01,0.1,0.1,0.1,0.01,0.01,0.041747617820816,0.0975687707243338,0.24560885202512,ind,False,True,False,False,False,False,True
1.7694000897858335,4.3072906895931,6.063318931353318,0.0028,0.1,0.1,0.01,0.01,0.01,0.0303232056984089,0.4877055165859025,0.3494891479665541,ind,False,False,True,False,False,False,True
1.7826152406131084,3.613216245447647,7.35478277974436,0.001,0.1,0.1,0.01,0.01,0.01,0.0358135381860661,0.0930887161912406,0.8690065084083057,ind,False,True,True,False,False,False,True
2.3192882494051625,2.6213088809321787,3.553101399434964,0.001,0.1,0.1,0.028,0.01,0.01,0.035135016867498,0.0758911293640997,0.1071499090064031,btk,False,True,True,True,True,True,True
2.7360878134957,3.585015280286735,4.913567391456486,0.001,0.1,0.1,0.01,0.01,0.01,0.0764113616895613,0.0633330622240152,0.187178619490327,btk,True,False,False,False,False,False,False
